episode: 1/150, reward: -36.57386671232813, learning rate: 5e-05
episode: 2/150, reward: -37.22454400935339, learning rate: 4.9475962e-05
episode: 3/150, reward: -37.495884048935615, learning rate: 4.895742e-05
episode: 4/150, reward: -37.08840498362475, learning rate: 4.8444308e-05
episode: 5/150, reward: -36.30563471203019, learning rate: 4.7936577e-05
episode: 6/150, reward: -35.807713464785685, learning rate: 4.7434165e-05
episode: 7/150, reward: -36.16001005365664, learning rate: 4.693702e-05
episode: 8/150, reward: -37.01850680271659, learning rate: 4.6445086e-05
episode: 9/150, reward: -39.43169952589096, learning rate: 4.5958306e-05
episode: 10/150, reward: -39.59818584983362, learning rate: 4.547663e-05
episode: 11/150, reward: -38.71856908820163, learning rate: 4.5e-05
episode: 12/150, reward: -36.30423162356546, learning rate: 4.4528366e-05
episode: 13/150, reward: -35.613555373508994, learning rate: 4.4061675e-05
episode: 14/150, reward: -35.84136522285589, learning rate: 4.3599877e-05
episode: 15/150, reward: -36.681681482976884, learning rate: 4.3142918e-05
episode: 16/150, reward: -38.196210663932355, learning rate: 4.269075e-05
episode: 17/150, reward: -37.582011117740706, learning rate: 4.224332e-05
episode: 18/150, reward: -38.16452549761376, learning rate: 4.1800577e-05
episode: 19/150, reward: -37.478272576087065, learning rate: 4.1362477e-05
episode: 20/150, reward: -36.651828143069494, learning rate: 4.0928964e-05
episode: 21/150, reward: -37.78132961953531, learning rate: 4.05e-05
episode: 22/150, reward: -37.84290310242818, learning rate: 4.007553e-05
episode: 23/150, reward: -36.938106343288226, learning rate: 3.9655508e-05
episode: 24/150, reward: -35.17637875315484, learning rate: 3.923989e-05
episode: 25/150, reward: -35.83896949510885, learning rate: 3.8828628e-05
episode: 26/150, reward: -36.00735979556076, learning rate: 3.8421673e-05
episode: 27/150, reward: -36.65766818685978, learning rate: 3.8018985e-05
episode: 28/150, reward: -37.21671953960399, learning rate: 3.7620517e-05
episode: 29/150, reward: -39.84207066705961, learning rate: 3.722623e-05
episode: 30/150, reward: -38.68523086523794, learning rate: 3.683607e-05
episode: 31/150, reward: -39.37358047224334, learning rate: 3.645e-05
episode: 32/150, reward: -38.76833897501499, learning rate: 3.6067977e-05
episode: 33/150, reward: -37.69051446682972, learning rate: 3.5689958e-05
episode: 34/150, reward: -37.75440720404078, learning rate: 3.53159e-05
episode: 35/150, reward: -37.72768606248304, learning rate: 3.4945762e-05
episode: 36/150, reward: -38.63080985946304, learning rate: 3.4579505e-05
episode: 37/150, reward: -38.06769734893348, learning rate: 3.4217086e-05
episode: 38/150, reward: -38.75163470983173, learning rate: 3.385847e-05
episode: 39/150, reward: -38.60213737716142, learning rate: 3.3503606e-05
episode: 40/150, reward: -38.83993009687135, learning rate: 3.315246e-05
episode: 41/150, reward: -38.781003775862324, learning rate: 3.2805e-05
episode: 42/150, reward: -38.98889701418465, learning rate: 3.246118e-05
episode: 43/150, reward: -37.14581810562341, learning rate: 3.2120963e-05
episode: 44/150, reward: -38.82029742861532, learning rate: 3.178431e-05
episode: 45/150, reward: -38.58925852504842, learning rate: 3.145119e-05
episode: 46/150, reward: -37.25205048270327, learning rate: 3.1121555e-05
episode: 47/150, reward: -36.782947861362814, learning rate: 3.0795378e-05
episode: 48/150, reward: -36.563875649585036, learning rate: 3.047262e-05
episode: 49/150, reward: -35.66772029320946, learning rate: 3.0153244e-05
episode: 50/150, reward: -35.38126403373653, learning rate: 2.9837216e-05
episode: 51/150, reward: -35.290584616638824, learning rate: 2.95245e-05
episode: 52/150, reward: -34.90465093111049, learning rate: 2.9215062e-05
episode: 53/150, reward: -35.02733155448595, learning rate: 2.8908866e-05
episode: 54/150, reward: -34.90396567429914, learning rate: 2.860588e-05
episode: 55/150, reward: -34.57893036138821, learning rate: 2.8306069e-05
episode: 56/150, reward: -34.51979967392138, learning rate: 2.8009401e-05
episode: 57/150, reward: -34.42386185954125, learning rate: 2.7715841e-05
